PAR ID,SUB,PRED,OBJ
51207047-1,Elissa Shevinsky,occupation,"american technology executive , entrepreneur , cybersecurity expert , public speaker , and author"
51207047-3,Elissa Shevinsky,educated at,Benjamin Cardozo High School
51207047-3,Elissa Shevinsky,educated at,Williams College
51207047-6,Elissa Shevinsky,occupation,chief executive of Glimpse
51207047-8,Elissa Shevinsky,occupation,Head of Product
51207047-11,Elissa Shevinsky,occupation,chief operating officer
51207047-12,Elissa Shevinsky,occupation,ceo
51218601-1,Theo H\u00e4rder,date of birth,"August 28, 1945"
51218601-1,Theo H\u00e4rder,place of birth,"Bad Neustadt an der Saale , Germany"
51218601-1,Theo H\u00e4rder,occupation,Professor of Computer Science
51218601-3,Theo H\u00e4rder,educated at,Department of Electrical Engineering and Information Technology of the Technische Universit\u00e4t Darmstadt
51218601-3,Theo H\u00e4rder,occupation,professor at the Department of Computer Science
51237053-1,openai,founded by,Wojciech Zaremba
51237053-1,Wojciech Zaremba,occupation,lead both the Codex research and language team
51237053-3,Wojciech Zaremba,place of birth,"Kluczbork , Poland"
51237053-4,Wojciech Zaremba,educated at,University of Warsaw
51237053-4,Wojciech Zaremba,educated at,New York University
51237053-10,Wojciech Zaremba,occupation,robotic research manager
51239375-1,Remi El-Ouazzane,date of birth,"June 4, 1973"
51239375-1,Remi El-Ouazzane,occupation,embed system engineer
51239375-3,Remi El-Ouazzane,place of birth,"Neuilly - sur - Seine , France"
51239375-3,Remi El-Ouazzane,educated at,Grenoble Institute of Technology
51239375-3,Remi El-Ouazzane,educated at,Grenoble Institute of Political Studies
51239375-3,Remi El-Ouazzane,educated at,Harvard Business School
51239375-6,Remi El-Ouazzane,occupation,Worldwide General Manager
51239375-8,Remi El-Ouazzane,occupation,Chief Executive Officer
51239375-15,Remi El-Ouazzane,member of,ST's Executive Committee
51244418-1,John N. Tsitsiklis,date of birth,1958
51244418-1,John N. Tsitsiklis,occupation,"director of the Laboratory for Information and Decision Systems and be affiliate with the Institute for Data, Systems , and Society ( IDSS ) , the Statistics and Data Science Center and the MIT Operations Research Center"
51244418-3,John N. Tsitsiklis,educated at,Massachusetts Institute of Technology
51251385-1,Elizabeth Gerber,occupation,associate professor
51251385-3,Elizabeth Gerber,educated at,Dartmouth College
51251385-6,Design for America,founded by,Elizabeth Gerber
51345817-1,Enrique Salem,date of birth,1965
51345817-1,Enrique Salem,occupation,ceo
51345817-4,Enrique Salem,educated at,Dartmouth College
51376486-1,Peter Richtarik,occupation,professor
51376486-3,Peter Richtarik,educated at,"Comenius University , Slovakia"
51376486-3,Peter Richtarik,educated at,Cornell University
51376486-5,Peter Richtarik,occupation,Mechanical Engineer
51376486-5,Peter Richtarik,occupation,Lecturer
51376486-5,Peter Richtarik,occupation,Scholar
51554035-1,Nancy Fulda,occupation,Sience Fiction Writer
