PAR ID,SUB,PRED,OBJ
27064-2,stephen,occupation,ucla
93547-3,arthur_john_robin_gorell_milner,occupation,ferranti
184462-1,david_harold_bailey,occupation,nasa_ames
469029-5,john_robert_biggs,occupation,city
654139-1,kenneth_edward_batcher,occupation,goodyear_aerospace
922620-1,peter_mattis,occupation,gnu_image
1058864-1,rollo_carpenter,occupation,cto
1349449-7,georgii,occupation,computer_science
1885965-4,stuart,occupation,stanford_university
2531756-2,stuart_james_shilson,occupation,mckinsey
3617848-5,peyton_jones,occupation,university_college_london
3617848-5,simon_peyton_jones,occupation,microsoft_research
3974206-2,william_arthur_martin,occupation,mit
4229879-5,lee_jones,occupation,pokerstars
5004511-4,héctor_garcía-molina,occupation,computer_science_department
5224894-2,tarr,occupation,most
5589387-7,bertram_raphael,occupation,hewlett_packard
7792347-1,ian_f_sommerville,occupation,university
7792347-8,ian_f_sommerville,occupation,esprit
7895245-5,stephen_h_muggleton,occupation,turing_institute
8908372-1,jeanne_ferrante,occupation,ibm
9459985-4,alexander_reinefeld,occupation,university
11051244-2,william_lynch_coffey,occupation,software_development_manager
11172734-3,michael,occupation,at
11664159-10,evelyn_merle_nelson,occupation,associate
12659343-1,sonia_keys,occupation,minor
12659343-4,sonia_keys,occupation,minor
12676100-1,nathan_mccree,occupation,spice_girls
12679043-5,fawwaz,occupation,house_science_committee
12768941-2,chalermek_intanagonwiwat,occupation,rutgers_university
17354218-2,ravindra_khattree,occupation,us_national_academy
18320672-3,george,occupation,computer_science_department
18327153-5,jock_d_mackinlay,occupation,systems_analyst
18875460-1,navīd_māšīn_cī,occupation,vancouver_whitecaps
18875460-7,navīd_māšīn_cī,occupation,vancouver_whitecaps
21018561-4,daniel_jackson,occupation,logica
21051961-4,john_resig,occupation,khan_academy
21133174-8,james_r_curran,occupation,university
22033605-3,alfred_jack_cole,occupation,heriot-watt_college
22508703-5,jesca_eriyo,occupation,kololo_senior
22845537-2,hans_uszkoreit,occupation,linguistics_research_center
22845537-2,hans_uszkoreit,occupation,artificial_intelligence_center
23274584-5,ralph_guggenheim,occupation,electronic_arts
23293794-3,patrick_peter,occupation,vp
23293794-5,patrick_peter_chan,occupation,sun_microsystems
23862636-1,richard_mclean,occupation,melbourne
25860598-4,maneesh_agrawala,occupation,vicinity_corporation
26696665-6,róbert_lovas,occupation,department
27389065-5,vern_paxson,occupation,ieee_communications_society
28469288-3,eoghan,occupation,lead_cyber
29153699-15,elīna_ringa,occupation,system_administrator
29515970-1,charlie_cheever,occupation,ceo
30324173-4,james_wesley_graham,occupation,ibm
